fodors_id,zagats_id
534,219
535,220
536,221
537,222
538,223
539,224
540,225
541,226
542,227
543,228
544,229
545,230
546,231
547,232
548,233
549,234
550,235
551,236
552,237
553,238
554,239
555,240
556,241
557,242
558,243
559,244
560,245
561,246
562,247
563,248
564,249
565,250
566,251
567,252
568,253
569,254
570,255
571,256
572,257
573,258
574,259
575,260
576,261
577,262
578,263
579,264
580,265
581,266
582,267
583,268
584,269
585,270
586,271
587,272
588,273
589,274
590,275
591,276
592,277
593,278
594,279
595,280
596,281
597,282
598,283
599,284
600,285
601,286
602,287
603,288
604,289
605,290
606,291
607,292
608,293
609,294
610,295
611,296
612,297
613,298
614,299
615,300
616,301
617,302
618,303
619,304
620,305
621,306
622,307
623,308
624,309
625,310
626,311
627,312
628,313
629,314
630,315
631,316
632,317
633,318
634,319
635,320
636,321
637,322
638,323
639,324
640,325
641,326
642,327
643,328
644,329
645,330
