id1,id2,label
9780226156439,4086892,1
9780060655808,535599,1
9780130901262,1386538,1
9780205700424,13945932,1
9780217270052,15334872,1
9780070479081,1566948,1
9780030513374,5050626,1
9780135285718,522144,1
9780114958367,5514791,1
9780073380339,5681971,1
9780061374050,6000607,1
9780077217181,7807428,1
9780152062279,7809485,1
9780071451574,4082544,1
9780205327270,4763339,1
9780028348261,5087512,1
9780140447040,515921,1
9780061490057,17800413,1
9780217516556,19747771,1
9780077864262,22922094,1
9780226492360,2351244,1
9780198280354,2524032,1
9780060837563,3618742,1
9780007183456,10082209,1
9780153234514,10865895,1
9780198201892,1300652,1
9780029066850,1490720,1
9780217105972,15311731,1
9780217521376,15348586,1
9780160879098,16284366,1
9780199556717,10240412,1
9780217263016,14022273,1
9780217519724,14022804,1
9780217021159,14026160,1
9780217618472,14028323,1
9780217033985,15305465,1
9780217759441,15345679,1
9780061965548,15772172,1
9780201738278,1581211,1
9780077905972,15912308,1
9780142412145,10083762,1
9780195386370,10722263,1
9780205753413,13433980,1
9780217048255,15289952,1
9780217255035,15291838,1
9780217872232,15350595,1
9780217249775,15358361,1
9780217298445,15359574,1
9780195380002,15657084,1
9780230232372,16938827,1
