pairId,id1,id2,label
1,conf/sigmod/SlivinskasJS01,375678,1
2,conf/sigmod/ChaudhuriDN01,375694,1
3,conf/sigmod/RinfretOO01,375669,1
4,conf/sigmod/BreunigKKS01,375672,1
5,conf/sigmod/JagadishJOT01,375687,1
6,conf/sigmod/NazeriBO01,375743,1
7,conf/sigmod/ChenZCKR01,375789,1
8,conf/sigmod/BohmBKK01,375714,1
9,conf/sigmod/DattaDRTV01,375780,1
10,conf/sigmod/HernandezMHYHT01,375767,1
11,conf/sigmod/LeeWMS01,375709,1
12,conf/sigmod/HanPLJ01,375786,1
13,conf/sigmod/KiesslingHFE01,375754,1
14,conf/sigmod/YanMHF01,375729,1
15,conf/sigmod/FernandezMS01,375674,1
16,conf/sigmod/CandanLLHA01,375736,1
17,conf/sigmod/BorkarDS01,375682,1
18,conf/sigmod/SchusterW01,375728,1
19,conf/sigmod/HanPDW01,375664,1
20,conf/sigmod/Maguire01,375742,1
21,conf/sigmod/GodfreyGXZ01,375749,1
22,conf/sigmod/FabretJLPRS01,375677,1
23,conf/sigmod/OlstonWL01,375710,1
24,conf/sigmod/LahiriG01,375751,1
25,conf/sigmod/DeolaseeKPRS01,375752,1
26,conf/sigmod/Meseck01,375745,1
27,conf/sigmod/ShahC01,375773,1
28,conf/sigmod/StonebrakerH01,375739,1
29,conf/sigmod/AfratiLU01,375705,1
30,conf/sigmod/ButtlerLPP01,375762,1
31,conf/sigmod/LangS01,375716,1
32,conf/sigmod/Smith01,375814,1
33,conf/sigmod/TatarinovIHW01,375720,1
34,conf/sigmod/ShouCTRH01,375755,1
35,conf/sigmod/GionisGK01,375689,1
36,conf/sigmod/MistryRSR01,375703,1
37,conf/sigmod/Larson01,375792,1
38,conf/sigmod/GoldsteinL01,375706,1
39,conf/sigmod/Bussler01,375810,1
40,conf/sigmod/BabuGR01,375693,1
41,conf/sigmod/LamCKNH01,375779,1
42,conf/sigmod/GreenwaldK01,375670,1
43,conf/sigmod/DraperHW01,375744,1
44,conf/sigmod/AgichteinGV01,375774,1
45,conf/sigmod/KimCK01,375679,1
46,conf/sigmod/ClaypoolRZSK01,375765,1
47,conf/sigmod/BertinoCF01,375764,1
48,conf/sigmod/Mohan01,375798,1
49,conf/sigmod/KalnisP01,375712,1
50,conf/sigmod/YuMWL01,375684,1
51,conf/sigmod/ChenGK01,375692,1
52,conf/sigmod/Galindo-LegariaJ01,375748,1
53,conf/sigmod/DeshpandeGR01,375685,1
54,conf/sigmod/LazaridisM01,375718,1
55,conf/sigmod/BrunoCG01,375686,1
56,conf/sigmod/Sahuguet01,375757,1
57,conf/sigmod/AgrawalCN01,375769,1
58,conf/sigmod/ChenGM01,375688,1
59,conf/sigmod/ZhangNDLL01,375722,1
60,conf/sigmod/CarinoKKB01,375733,1
61,conf/sigmod/AggarwalY01,375668,1
62,conf/sigmod/WynblattN01,375737,1
63,conf/sigmod/BohannonMR01,375681,1
64,conf/sigmod/GunopulosD01,375808,1
65,conf/sigmod/KeoghCMP01,375680,1
66,conf/sigmod/DoanDH01,375731,1
67,conf/sigmod/NgWY01,375666,1
68,conf/sigmod/IpeirotisGS01,375671,1
69,conf/sigmod/JoshiA01,375673,1
70,conf/sigmod/HristidisKP01,375690,1
71,conf/sigmod/GetoorTK01,375727,1
72,conf/sigmod/WuAA01,375724,1
73,conf/sigmod/GehrkeKS01,375665,1
74,conf/sigmod/AdiBEY01,375759,1
75,conf/sigmod/Amer-YahiaCLS01,375730,1
76,conf/sigmod/WhitneyS01,375783,1
77,conf/sigmod/KriegelMPS01,375777,1
78,conf/sigmod/BabyCY01,375761,1
79,conf/sigmod/CasatiS01,375812,1
80,conf/sigmod/Rosenthal01,375796,1
81,conf/sigmod/NguyenACP01,375723,1
82,conf/sigmod/CatarciS01,375771,1
83,conf/sigmod/ChangC01,375776,1
84,conf/sigmod/Lomet00,335378,1
85,conf/sigmod/LabioWGG00,335379,1
86,conf/sigmod/AggarwalY00,335383,1
87,conf/sigmod/PalmerF00,335384,1
88,conf/sigmod/ZaharioudakisCLPU00,335390,1
89,conf/sigmod/CorralMTV00,335414,1
90,conf/sigmod/RoySSB00,335419,1
91,conf/sigmod/HellersteinA00,335420,1
92,conf/sigmod/PopaDST00,335421,1
93,conf/sigmod/AgrawalW00,335423,1
94,conf/sigmod/ForlizziGNS00,335426,1
95,conf/sigmod/MoonSL00,335428,1
96,conf/sigmod/ChoSG00,335429,1
97,conf/sigmod/OhHP00,335436,1
98,conf/sigmod/RamaswamyRS00,335437,1
99,conf/sigmod/SzalayGKT00,335439,1
100,conf/sigmod/GunopulosKTD00,335448,1
101,conf/sigmod/AcharyaGP00,335450,1
102,conf/sigmod/WaasG00,335451,1
103,conf/sigmod/WattezCBFF00,335452,1
104,conf/sigmod/Ross00,335457,1
105,conf/sigmod/HsiaoN00,335461,1
106,conf/sigmod/Weininger00,335465,1
107,conf/sigmod/Jhingran00,335469,1
108,conf/sigmod/WangSSZZW00,335495,1
109,conf/sigmod/ChenDLT00,336560,1
110,conf/sigmod/Galhardas00,336568,1
111,conf/sigmod/JarkeQCLFLVV00,336570,1
112,conf/sigmod/GillmannWSWW00,336577,1
113,conf/sigmod/LiuPBHPT00,336579,1
114,conf/sigmod/OriaOILY00,336589,1
115,conf/sigmod/HanPY00,335372,1
116,conf/sigmod/RiedelFGN00,335375,1
117,conf/sigmod/ShenoyHSBBS00,335376,1
118,conf/sigmod/LakhamrajuRSS00,335381,1
119,conf/sigmod/BreunigKNS00,335388,1
120,conf/sigmod/ChoG00,335391,1
121,conf/sigmod/SalemBCL00,335393,1
122,conf/sigmod/ChristophidesCS00,335395,1
123,conf/sigmod/LiefkeS00,335405,1
124,conf/sigmod/GarofalakisGRSS00,335409,1
125,conf/sigmod/FaloutsosSTT00,335412,1
126,conf/sigmod/KornM00,335415,1
127,conf/sigmod/RodriguezR00,335413,1
128,conf/sigmod/LeeKOTM00,335416,1
129,conf/sigmod/LitwinS00,335418,1
130,conf/sigmod/GoldmanW00,335422,1
131,conf/sigmod/BarclaySG00,335424,1
132,conf/sigmod/SaltenisJLL00,335427,1
133,conf/sigmod/LabrinidisR00,335430,1
134,conf/sigmod/ChenJDTW00,335432,1
135,conf/sigmod/ChangBCLLS00,335433,1
136,conf/sigmod/JagadishKS00,335434,1
137,conf/sigmod/AgrawalS00,335438,1
138,conf/sigmod/RaoR00,335449,1
139,conf/sigmod/LehnerSPC00,335454,1
140,conf/sigmod/PonnekantiK00,335462,1
141,conf/sigmod/AnnamalaiCD00,335463,1
142,conf/sigmod/ChenCPPSTM00,335466,1
143,conf/sigmod/OrdonezC00,335468,1
144,conf/sigmod/Ramakrishnan00,335471,1
145,conf/sigmod/Nori00,335474,1
146,conf/sigmod/Gal00,335479,1
147,conf/sigmod/ShuklaD00,335482,1
148,conf/sigmod/IvesLPST00,335492,1
149,conf/sigmod/FegarasSRM00,335494,1
150,conf/sigmod/RundensteinerCCSO00,335496,1
151,conf/sigmod/MerialdoAMMP00,335497,1
152,conf/sigmod/BerckenDS00,336562,1
153,conf/sigmod/Sarawagi00,336564,1
154,conf/sigmod/PeiMHZ00,336572,1
155,conf/sigmod/HsuLG00,336573,1
156,conf/sigmod/Rodriguez-Martinez00,336575,1
157,conf/sigmod/YangYW00,336578,1
158,conf/sigmod/LiBCS00,336583,1
159,conf/sigmod/BressanGOT00,336587,1
160,conf/sigmod/ReveszCKLLW00,336590,1
161,conf/sigmod/ChakrabartiM99,304185,1
162,conf/sigmod/AggarwalPWYP99,304188,1
163,conf/sigmod/ShanmugasundaramNSR99,304190,1
164,conf/sigmod/Jamil99,304192,1
165,conf/sigmod/AdaliSS99,304193,1
166,conf/sigmod/GehrkeGRL99,304197,1
167,conf/sigmod/VitterW99,304199,1
168,conf/sigmod/ChanI99,304201,1
169,conf/sigmod/BlohsfeldKS99,304203,1
170,conf/sigmod/IvesFFLW99,304209,1
171,conf/sigmod/MayrS99,304213,1
172,conf/sigmod/BeyerR99,304214,1
173,conf/sigmod/KotidisR99,304215,1
174,conf/sigmod/AggarwalWY99,304218,1
175,conf/sigmod/Keim99,304219,1
176,conf/sigmod/YerneniLGU99,304221,1
177,conf/sigmod/CallanCD99,304224,1
178,conf/sigmod/DavulcuFKR99,304225,1
179,conf/sigmod/Ozsu99,304228,1
180,conf/sigmod/Mohan99,304230,1
181,conf/sigmod/HinneburgK99,304232,1
182,conf/sigmod/KrishnamurthyBN99,304235,1
183,conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99,304239,1
184,conf/sigmod/Kohler99,304241,1
185,conf/sigmod/Greer99,304242,1
186,conf/sigmod/TrisoliniLN99,304569,1
187,conf/sigmod/LiuHBPT99,304570,1
188,conf/sigmod/AltinelABFSZ99,304571,1
189,conf/sigmod/WolfsonSXZC99,304572,1
190,conf/sigmod/BraumandlKK99,304573,1
191,conf/sigmod/RundensteinerKZWLLN99,304574,1
192,conf/sigmod/NgLHM99,304575,1
193,conf/sigmod/CruzJ99,304587,1
